,0
state_capped,0.5977465123565916
time_elapsed_ratio,0.5949529267814414
sector,0.5722830159853352
agency_capped,0.3296998057503518
progress_vs_time_gap,0.31987537329899224
planned_duration_months,0.3194656099066861
phys_prog_n,0.26586249843729126
ministry,0.26227554521014496
schedule_slip_months_to_date,0.23530274583649546
elapsed_months,0.2153168344339824
sector_peer_progress_percentile,0.17486722895571286
cost_utilization_ratio,0.15485577346160836
cost_current_n,0.1459383464506645
cum_exp_n,0.11337557058442757
expenditure_velocity_1m,0.10761966694576575
sector_peer_divergence_percentile,0.10645623722879659
cost_original_n,0.08973946669247578
agency_hist_overdue_rate,0.08614775719268998
is_overdue_original,0.06542411956416125
progress_velocity_3m,0.04995216412008756
cost_escalation_pct_to_date,0.04343427199036295
progress_accel_1m,0.0432865396464854
months_since_last_cost_revision,0.02350536015673356
months_since_last_schedule_revision,0.021508918668722964
cost_revision_count_to_date,0.02053283485351778
progress_velocity_1m,0.018151592909290994
stall_streak_months,0.017457336116982882
schedule_revision_count_to_date,0.0057065892678188216
has_been_schedule_revised,0.0008518568021537335
has_been_cost_revised,0.0
is_overdue_current,0.0
obs_index,0.0
is_fiscal_year_end,0.0
ministry_newly_reporting_flag,0.0
