canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
108841,0.5,0,Telecommunication,3742.0,58.0,Other,8.22764270790443
222253,0.5,0,Telecommunication,5008.0,54.0,Other,8.518991573357617
400005,1.0,1,PETROLEUM,4546.26,11.0,PETROLEUM,8.422280132748876
400006,1.0,1,Railways,808.99,48.0,Other,6.697021901911263
400010,5.0,1,CIVIL AVIATION,480.33,38.0,CIVIL AVIATION,6.176553105552927
400012,5.0,1,Energy Storage,10088.0,36.0,Other,9.219201000408379
400013,9.0,1,Telecommunication,26316.0,23.0,Other,10.177970397179921
400018,12.0,0,POWER,859.41,79.0,POWER,6.757409019827197
400019,1.0,1,POWER,492.76,95.0,POWER,6.202049569174796
400022,12.0,0,COAL,2798.16,96.0,COAL,7.937074651154293
400023,1.0,1,POWER,748.86,106.0,POWER,6.619886522439299
400033,12.0,0,CIVIL AVIATION,580.6,70.0,CIVIL AVIATION,6.3657829262193095
400035,2.0,1,PETROLEUM,656.0,38.0,PETROLEUM,6.48768401848461
400043,11.0,1,MINES,829.0,30.0,Other,6.721425700790643
400045,11.0,0,Oil & Gas,168.32,32.0,Oil & Gas,5.1317904156527225
400047,1.0,1,Railways,210.0,28.0,Other,5.351858133476067
400048,1.0,1,Railways,186.21,27.0,Other,5.232230981420177
400062,11.0,0,Electricity Generation,17673.0,52.0,Other,9.77984991207795
400065,1.0,1,Steel,1105.23,39.0,Other,7.0087131170626655
400073,12.0,0,POWER,799.34,122.0,POWER,6.685036637381008
400074,12.0,0,POWER,908.47,86.0,POWER,6.812862012257475
400077,1.0,1,MINES,827.0,30.0,Other,6.71901315438526
400078,5.0,1,COAL,9028.0,34.0,COAL,9.10819689830748
400087,8.0,1,COAL,885.63,54.0,COAL,6.787427758869102
400093,9.0,0,Telecommunication,1672.7,32.0,Other,7.422792023519593
400094,0.5,0,Telecommunication,759.94,44.0,Other,6.634554511126557
400095,9.0,0,Telecommunication,743.73,32.0,Other,6.613021736583588
400096,8.0,1,Telecommunication,648.09,56.0,Other,6.475571381974055
400102,1.0,1,Telecommunication,736.13,176.0,Other,6.602764267407719
400103,1.0,1,Telecommunication,1331.3,167.0,Other,7.1946620509661665
400105,1.0,1,Telecommunication,580.79,50.0,Other,6.366109557876259
400107,9.0,0,Telecommunication,2407.67,52.0,Other,7.786830006930021
400109,1.0,1,Telecommunication,848.07,26.0,Other,6.744141632853645
400112,9.0,0,Telecommunication,7222.95,122.0,Other,8.885157173699668
400115,1.0,1,Telecommunication,751.03,131.0,Other,6.622776216771132
400116,1.0,1,Telecommunication,1229.15,152.0,Other,7.11489139215053
400117,1.0,0,Telecommunication,741.38,128.0,Other,6.609861241453939
400119,2.0,1,"HEALTH AND
FAMILY
WELFARE",3190.69,28.0,Other,8.068305836058975
400120,1.0,1,"DEPARTMENT
OF HIGHER
EDUCATION",34012.0,51.0,"DEPARTMENT
OF HIGHER
EDUCATION",10.434498083461216
400121,12.0,0,STEEL,1043.63,35.0,Other,6.951418034716751
400136,11.0,0,Coal,2660.0,60.0,Other,7.886457270977689
400138,12.0,0,POWER,973.5,139.0,POWER,6.881924518947615
400139,12.0,0,POWER,625.4,139.0,POWER,6.439989144676593
400141,1.0,1,MINES,4103.0,76.0,Other,8.319717386850606
400142,12.0,0,POWER,2242.92,182.0,POWER,7.715979615383202
400144,12.0,0,"URBAN
DEVELOPMENT",2310.12,99.0,Other,7.74548753449964
400145,2.0,1,Coal,610.63,99.0,Other,6.41612752451967
400147,2.0,0,Coal,7612.33,115.0,Other,8.93765593727337
400148,12.0,0,CIVIL AVIATION,869.44,60.0,CIVIL AVIATION,6.768998830928092
400149,12.0,0,"URBAN
DEVELOPMENT",2309.8,103.0,Other,7.745349063907111
400150,12.0,0,POWER,7254.37,91.0,POWER,8.889497163328688
400151,12.0,0,POWER,778.8,92.0,POWER,6.659037476548497
400152,8.0,0,CIVIL AVIATION,1248.93,80.0,CIVIL AVIATION,7.130842828728288
400153,12.0,0,POWER,1020.42,86.0,POWER,6.928949094989139
400154,12.0,0,POWER,713.35,76.0,POWER,6.571373038311167
400155,3.0,1,POWER,2898.28,82.0,POWER,7.972217709286943
400156,12.0,0,POWER,5136.15,91.0,POWER,8.544253729963092
400158,4.0,0,Oil & Gas,1164.69,34.0,Oil & Gas,7.0610684653524896
400160,1.0,1,POWER,510.85,75.0,POWER,6.23803161336578
400162,1.0,1,CIVIL AVIATION,998.71,44.0,CIVIL AVIATION,6.907465236924006
400165,2.0,1,RAILWAYS,1693.81,94.0,RAILWAYS,7.435325919136224
400166,1.0,1,RAILWAYS,5194.96,97.0,RAILWAYS,8.555636679531451
400167,9.0,1,COAL,1162.56,109.0,COAL,7.059239549955923
400168,3.0,1,"HEALTH AND
FAMILY
WELFARE",8797.0,71.0,Other,9.082279701908664
400169,1.0,1,COAL,631.03,47.0,COAL,6.448936861374701
400171,2.0,1,PETROLEUM,1421.46,33.0,PETROLEUM,7.260143046097217
400172,4.0,1,POWER,513.98,91.0,POWER,6.244128064958184
400173,4.0,1,CIVIL AVIATION,888.99,64.0,CIVIL AVIATION,6.791210226708006
400174,1.0,1,STEEL,1034.01,31.0,Other,6.942166367488543
400177,1.0,1,CIVIL AVIATION,727.28,115.0,CIVIL AVIATION,6.590685589635764
